canonical_smiles,standard_value,mol
C=C[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,2240.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492F10>
C=C[C@]12CC[C@](C)(O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,5300.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492F80>
C=Cc1c(Br)c(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,803.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492FF0>
C=Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,254.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493060>
C=Cc1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,385.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84930D0>
C=Cc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,504.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493140>
C=Cc1cc(C)cc2c(=O)oc3c(C)c(O)ccc3c12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84931B0>
C=Cc1cc(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,1036.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493220>
C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,240.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493290>
C=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,527.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493300>
C=Cc1cc(O)cc2nc(-c3c(F)cc(O)cc3F)oc12,249.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493370>
C=Cc1cc(O)cc2nc(-c3cc(F)c(O)c(F)c3)oc12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84933E0>
C=Cc1cc(O)cc2nc(-c3cc(F)c(O)cc3F)oc12,4040.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493450>
C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,1216.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84934C0>
C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3F)oc12,474.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493530>
C=Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,447.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84935A0>
C=Cc1cc(O)cc2nc(-c3ccc(O)cc3C)oc12,1116.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493610>
C=Cc1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,227.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493680>
C=Cc1cc(OC)cc2c(=O)oc3c(C)c(O)ccc3c12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84936F0>
C=Cc1ccc2c(c1)c(=O)oc1c(C)c(O)ccc12,4590.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493760>
C=Cc1cccc2c(=O)oc3c(C)c(O)ccc3c12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84937D0>
CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(O)cc3CC[C@@H]2C1,89.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493840>
CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(OCc4cccnc4C)cc3CC[C@@H]2C1,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84938B0>
CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(OCc4ccncc4)cc3CC[C@@H]2C1,670.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493920>
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,5000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493990>
CC#C[C@]1(O)C[C@H]2CCc3cc(O)ccc3[C@]2(CC)C[C@@H]1O,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493A00>
CC#C[C@]1(O)C[C@H]2CCc3cc(O)ccc3[C@]2(CC)[C@H](O)C1,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493A70>
CC#C[C@]1(O)C[C@H]2CCc3cc(OCc4cccnc4C)ccc3[C@]2(CC)C[C@@H]1O,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493AE0>
CC#C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,8419.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493B50>
CC#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,343.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493BC0>
CC#Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,180.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493C30>
CC(/C=N/NC(=N)N)=C(/Cl)c1ccccc1,37000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493CA0>
CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1c[nH]cn1,223.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493D10>
CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1cccnc1,76.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8493D80>
